member_name_last_first,state,project_name,amount_requested_in_thousands_of_dollars,project_city_county_state,recipient_name,recipient_address,project_purpose,project_justification,fiscal_year
paving walk, curbs and gutters, storm drainage, and information systems.","The Defense Enhancement Coalition requests your support for funding of a project on Joint Base
McGuire, Dix, Lakehurst in support of Ft. Dix training missions. The Ft. Dix portion of the base is the premier
training facility for the US Army Reserve and the National Guard in the northeast. One of the major training
requirements for these forces is the development of training skills for vertical and horizontal construction teams and
units. To accomplish this mission, the US Army has requested funding for a training platform designated as a Vertical
Skills Instruction Facility.",2026
"Davis, Donald",NC,"COMBAT ARMS TRAINING & MAINTENANCE
COMPLEX",41000,"Goldsboro,
NC","Seymour Johnson
Air Force Base","1095 Peterson Avenue,
Goldsboro, North
Carolina, 27531","The Fiscal Year 2025 National Defense Authorization Act (P.L. 118-59) authorized funding for the facility.  The
entity to receive funding for this project is Seymour Johnson Air Force Base located at 1095 Peterson Avenue,
Goldsboro, North Carolina, 27531.

The funding would be used for a single Combat Arms Facility to include a 35-lane range, classrooms,
administration, weapons cleaning, weapons maintenance, weapons and ammunition vault, and range supplies
storage. The facility will also include a Security Forces Logistics and Readiness Warehouse/Armory Weapon
Storage area. Facility construction consists of a reinforced concrete foundation, a waterproof concrete floor slab
with floor drains, a structural steel frame, masonry walls, and a flat roof. The firing range will have steel deflector
plates, bullet traps, overhead baffles, utilities, heating, ventilation and air conditioning, an exhaust system, and sound
reflection reduction. This facility will include sustainable special construction features for savings in utilities and
maintenance.","There is broad and longstanding support from Seymour Johnson Air Force Base leadership and the community for
the project, and the CATM has remained a top MILCON priority for the installation.

Because of the dire condition of the facility, airmen have had to regularly travel to Fort Bragg for live fire training,
and airmen have suffered extensive hearing damage because of pour coating and acoustics in the facility.",2026
"DesJarlais, Scott",TN,Primary Pump Station Upgrades,91000,"Arnold Air
Force Base,
TN","Arnold Air Force
Base","100 Kindel Dr. A242
Arnold AFB, TN
37389","Construct new intake and Primary Pumping Station 2 (PPS2) adjacent to current Primary Pumping Station 1 (PPS1) on Woods
Reservoir. PPS2 will include 3 intake channels with flow control stop logs, 3 mechanical screens to improve water quality, 4 new
vertical turbine pumps with associated discharge piping and valves, and a hoist for equipment removal. The combined pumping
capacity of PPS1 and PPS2 will be 260 kgal. The new intake and pump station will be open-air with a canopy over the hoist. Site
improvements include grading and paving for maintenance access.
Construct new 96-inch Pipeline. A new 96-inch welded steel pipeline, approximately 20,500 feet long, will be constructed from the
pump station discharge to the existing Secondary reservoir. The new pipeline will connect to the existing 60-inch pipeline to allow
both pipes to support the transmission of the peak flow of 260 kgpm. The pipelines will include isolation valves, air valves, and
blow off valves in valve vaults as well as vaults for maintenance access. Surge mitigation equipment will include two 120 kgal surge
tanks for the new 96-inch pipeline and the existing 60-inch pipeline and one 35 kgal surge tank for the existing 8-inch fire protection
waterline at PPS1. Surge tanks will require air compressors and controls in a modular building. The 96-inch pipeline discharge will
be constructed outside of the
Secondary Reservoir and the reservoir will be expanded to encompass the pipe discharge. Impressed current cathodic protection
will be provided.
New Electrical Service. A new open-air substation, powered from the existing Central Sub-station, will be constructed at or near the
new pump station (PPS2) to power the additional pumping capacity located at PPS2, . A new modular, prefabricated, control
building will be constructed on land immediately adjacent the new intake and pump station to provide 4.16-kV service to the new
pumps. New open-air low-voltage power distribution will be provided for service to smaller electrical loads. A canopy will be
constructed over the equipment, adjacent to the new intake and pump station. Power for the surge control buildings will be
480/277VAC service delivery from the existing 13.8kV overhead power line located along Pumping Station Road. Instrumentation
and Controls equipment will be provided to include: flow monitoring, Wood’s Reservoir level monitoring, pump and motor
monitoring (pressure, temperature, and vibration) monitoring, and water quality monitoring in Wood’s Reservoir. Access control
and video monitoring equipment will be provided at PPS2 and connected to the Base’s system (Vindicator) via fiber optic cabling.
Fire alarm equipment will be provided at PPS2 and connected to the base’s system via a wireless connection.","REQUIREMENT: Construction of a new intake and pump station, water transmission pipeline, and supporting
facilities to increase
cooling water pumping capacity from Wood’s Reservoir to the Secondary Reservoir to 260 kgpm.
CURRENT SITUATION: During summer months, which correspond to peak cooling water demand periods, the
existing Primary Pumping Station, with a capacity of 104 kgpm, is not capable of meeting peak cooling water
demand of 260 kgpm. The current shortfall in cooling water supply from Wood’s Reservoir to the Secondary
Reservoir negatively impacts the ability of Base personnel to schedule
testing. Certain testing must be delayed until adequate cooling water supply is available.
IMPACT IF NOT PROVIDED: AEDC will have to shut down test operations causing delays until the Primary
Pumping Station can refill the Secondary Reservoir. Each time this happens causes additional delay in all upcoming
test. This situation runs risk of loss test time or loss ability to complete a test.",2026
"DesJarlais, Scott",TN,"Army National Guard Aircraft Maintenance Hangar
(Project Number 470279)",40000,"Smyrna, TN","Tennessee Army
National Guard","3041 Sidco Dr.
Nashville, TN 37204","A Specially designed Aircraft Maintenance Hanger of permanent construction. The Aircraft Maintenance Hanger
includes the following items that are integral to the facility; Backup/Emergency Generator, Organizational Vehicle
Parking (Paved), Controlled Waste Facility, Flammable Materials Facility, and Heating Plant (Geothermal).
Facilities will include ground support equipment, storage of C-12, UH-72A & UH-60 aircraft, minimal military
vehicle parking, access roads and POV parking, security fencing and dark MV SA lighting, Wash rack and oil
separator tank. Extension of electric, sewer, water and communication utilities to the building site will be necessary.
Actual foundation. Comprehensive Interior design services are requested. This facility will be designed to meet
Industry Standards as well as all local, State, and Federal building codes and as per Public Law 42 U.S. Code
4154. Construction will include all utility services, information systems, fire detection and alarm systems, storm
drainage and site improvements. Physical security measures will be incorporated into design, including maximum
feasible standoff distance from roads, parking areas, Facilities will be designed to a minimum life of 50 years in
accordance with DoD'
s Unified Facilities Code (UFC 1-200-02) including energy efficiencies, building envelope and
integrated building systems performance as per A SA(IE&E) Sustainable Design and Development
Policy updated 2017.Access for individuals with disabilities will be provided. Anti-terrorism
measures in accordance with the DoD Minimum Anti-terrorism for building standards will be
provided. This project will comply with the Army 1 SQFT for 1 SQFT disposal policy through the
disposal of 48,777 SQFT","BNA (Nashville Airport Authority) is not renewing the Tennessee National Guard's lease at Berry Field. The
Tennessee National Guard, therefore requires these dollars in order to support their relocation to the Smyrna, TN
Airport for their headquarters.",2026
"DesJarlais, Scott",TN,"Add/ Alter Test Cell Bay, B880",20000,"Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Dr. A242
Arnold AFB, TN 37389","Construct an addition (roughly 1,068SM-11,500SF) on the North East Corner of Building 880. The addition will
match current building construction, being roughly 50ft wide it will extend out 150ft from the current exterior wall.
The overhead bridge crane will be extended over the new footprint. Additional facility requirements like office
space, restrooms, equipment storage, and meeting rooms could be incorporated into the addition. This will require
demolition of numerous facilities/utilities/pieces of equipment tied to the abandon J2A and J3 test cells. All J2A and
J3 infrastructure would be removed to allow for the new addition. The project includes all utilities, site
improvements, pavements, detection/protection features, security enhancements and other supporting work
necessary to make a complete and useable facility. Facilities will be designed as permanent construction in
accordance with the Department of Defense Unified Facilities Criteria 1-200-01. This project will comply with
Department of Defense antiterrorism/force protection requirements per Unified Facility
Criteria 4-010-01.","The new addition will allow for test article transport vehicle to pull directly into test bay and unload test article safely.
This removes typical weather concerns that occur now as well as reduces security risk as the article will be behind
closed doors. Along with new space for test article delivery, there will be additional space for test article setup,
storage space for test cell equipment, and potentially space that is needed for additional offices, restrooms, and
conference rooms. Outside of the new addition, a short road will be needed to provide direct access to the current
transportation system, as well as additional parking for personnel that may park near the building.
Building 880 supports the J1/J2 test cells that are used for propulsion engine testing. When test articles are delivered
to the test cell, the transport truck is forced to park along a road way, and a large outdoor fork truck will then carry
the test article through a maze of old abandon test infrastructure to the test
building. Once at the test building, the article is placed on a cart, as the fork truck is not able to make entry into the
building. The article is pushed on the cart inside where the overhead crane will then take control of the article and it
will be installed in the test cell. All test article instrumentation/setup is done inside the test cell meaning this can only
be done when another engine is not testing. The demo of current abandon test structure, the addition to the building,
and the direct road way connecting the current infrastructure to the new addition, allow for the transport vehicle to
pull directly into the test bay and have the article unloaded. This also provided necessary space for the article to be
set up and have necessary instrumentation installed prior to testing which means this can be done while another
engine is being tested.
IMPACT IF NOT PROVIDED: Facility operations are inefficient during test article delivery and setup. If this
project is not executed, we will continue to see inefficient operations during delivery and setup as well as have other
shortfalls within the facility like limited restrooms space, office space, and conference room space.",2026
"DesJarlais, Scott",TN,"Water Cooling Expansion, Rowland Creek",55000,"Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Drive, Suite
A-242
Arnold AFB, TN 37389","The purpose of this project is to construct additional Cooling water capacity at Arnold Air Force Base. Cooling
Water is an installation-wide critical asset/utility as typical day to day operations and all testing requirements depend
heavily upon this commodity. With a new hypersonic ground test mission, reactivation of mothballed testing facilities,
and an increased workload across the instillation there is a need for additional cooling water capacity, flexibility, and
availability. In order to meet future testing requirements, Arnold will have to execute concurrent tests which will
driving cooling water requirements beyond current capability. Through evaluating multiple concurrent testing
scenarios it was determined that Arnold would need to be able to deliver up to 600,000 gallons/minute
(a few highly unlikely scenarios required even more), the ability to feed separate test cells at differing conditions, and
better utilize water collected at the retention reservoir which feeds the Rowland Creek Pumping Station. Though
several solutions were evaluated, this solution is the most economic while still meeting all of our requirements","Arnold Air Force Base is responsible for a wide array of Research, Development, Test, and Evaluation efforts
(specifically ground testing) that support the Air Force and other DoD entities on behalf of Air Force Test
Command. Unlike flight tests, ground tests require large utility capabilities to operate different propulsion stands,
wind tunnels, space chambers, and arc facilities. There are three pumping stations that all together have a pumping
capacity of 620,000 gallons/minute but due to limitations within the distribution system can only effectively deliver
460,000 gallons/minute. The Secondary Pumping Station and Rowland Creek Pumping Station share a cooling
water main which restricts overall capacity. Current operations allow us to mix flow between the Secondary
Pumping Station and Rowland Creek Pumping station but with this new parallel line Arnold AFB would be able to
deliver isolated flow from each pumping station to  the distribution system. The requirement for 2 new pumps is to
support isolated flow so Rowland Creek Pumping Station will have step down capability and deliver cooling water
at the appropriate flow/pressure. This improvement would increase our cooling water capacity from 460,000
gallons/minute to 620,000 gallons/minute.
IMPACT IF NOT PROVIDED: Current cooling water flow restrictions will prevent Arnold AFB
from being able to execute upcoming concurrent test requirements. With increased test
loads coming, the end result will be delays to one or multiple test programs or failure to
execute all testing requirements. Failure to execute could have detrimental effects to
the following test programs: Hypersonic Standoff Weapons, Turbine Based Combined Cycle,
Hypersonic Munitions, Data Masked Programs, Next Generation Bomber, and Future Strike
Aircraft.",2026
"Ellzey, Jake",TX,P-1050 Maintenance Hangar,50000,"NAS JRB
Fort Worth,
TX","NAS JRB Forth
Worth","1510 Chennault Ave
Fort Worth TX 76113","The funding would be used to renovate a U.S. Marine Corps Maintenance Hangar (P-1050). Specifically, funding
would be used to renovates the interior and exterior of hangar 1050 including towers 1, 2, 3 and 4 to better
accommodate crew, equipment, and administrative spaces. The hangar, built in 1955 with a Building Condition
Index (BCI) of 82, a condition rating of 78, and a configuration rating of 64.",The Committee authorized in FY25 NDAA,2026
"Feenstra, Randy",IA,VSSB249100 Repair Runway 13-31 (185th ARW),77000,"Sioux City, IA","185th Air Refueling
Wing","2920 Headquarters
Ave.
Sioux City IA 51111","Repair by replacement of the existing 9,002 LF runway, runway shoulders, aircraft arresting system.","The funding would be used for the repair by replacement of the existing 9,002 LF runway, runway shoulders, and
aircraft arresting system. The 185 ARW needs this replacement to continue its refueling mission into the future. The
185th ARW and its mission are crucial to national security, nuclear deterrence, and vital to the Great Power
Competition. Additionally, the servicemembers and other employees at the base are an integral part of the Siouxland
area’s economy and the community.
In 2003, the 185th transitioned from F-16 Fighting Falcons to take on the KC-135 Stratotanker mission with a
promise from the Department of Defense that their runway would be replaced.  The much heavier KC-135’s have
taken a toll on the runway designed for lightweight F-16’s over the past 20 years and has required waivers and
frequent repairs due to the lack of follow-up on the promised investment to replace the runway.",2026
"Fong, Vince",CA,"F-35 Aircraft Maintenance Hangar Addition (prior title:
Tactical Surrogate Hangar), NAS Lemoore",5000,"Lemoore, CA",NAS Lemoore,"700 Avenger Avenue
Lemoore, California
93246","To better support NAS Lemoore’s mission, $5 million in planning and design funding is needed for the proposed F-
35 Aircraft Maintenance Hangar Addition at NAS Lemoore, which would fully fund the planning and design needed
for this project. By prioritizing planning and design funding, this project would advance, leading to a facility that
would bolster base operations, training, and maintenance. As our country’s largest Master Jet Base, continued
investment in facilities at NAS Lemoore is critical, especially since NAS Lemoore is our nation’s sole installation to
host the Navy variant of this aircraft.","Kings County, home to NAS Lemoore, is very supportive of NAS Lemoore and its mission. Enclosed is a letter
from the Chairman of the Kings County Board of Supervisors in support of the F-35 Aircraft Maintenance Hangar
Addition.",2026
"Fong, Vince",CA,"Child Development Center, NAWS China Lake",1876,"China Lake,
CA",NAWS China Lake,"Naval Air Weapons
Station China Lake
Headquarters
1 Administration Circle

China Lake, CA 93555","$1.876 million in planning and design funding is needed to advance a proposed Child Development Center at
NAWS China Lake. This project is important because the current facility is a pre-fabricated facility that is aging and
is beyond its useful life. The current facility is not adequate to support the current demand for childcare, a critical
element of supporting the families of uniformed service members and their civilian counterparts. By investing in
planning and design for the proposed Child Development Center, this project would advance faster than currently
scheduled, and the Navy personnel at NAWS China Lake would benefit from a better facility, improving safety,
strengthening efficiency, and increasing morale.","The proposed Child Development Center at NAWS China Lake has widespread community support. Enclosed is a
letter from community members in support of this project.",2026
"Gimenez, Carlos A.",FL,"Joint Interagency Task Force - South Command and
Control Facility",90000,"Key West, FL","USSOUTHCOM/JI
ATF-South","9301 NW 33rd Street,
Doral, FL","Construction of new JIATF-S Command and Control facility to replace existing facility that is over 70 years old and
to support USSOUTHCOM missions of homeland security, counter narcotics, and counter human trafficking.","USSOUTHCOM requires a new Command and Control (C2) facility at NAS Key West to support the Joint Inter-
Agency Task Force - South (JIATF-S) mission. JIATF-S is responsible for the disruption and prevention of over
300 Metric tons of cocaine from arriving on U.S. streets every year. Illegal narcotics contribute to over 100,000
drug overdose deaths of Americans each year, and this number has increased by roughly 20% since 2020. This is a
good use of taxpayer dollars because JIATF-S is strategically located to easily team up with interagency and foreign
partners to accomplish this nationally directed counter narcotics fight. SOUTHCOM requests $90 million in FY26
to initiate construction once the design completes in FY24. JIATF-S facilities were constructed over 70 years ago
and have exceeded their service life. Multiple components are failing and cannot be repaired due to the condition of
the facilities, which presents a safety issue to personnel along with mission degradation. The JIATF-S C2 facility is
currently at significant risk of not meeting is statutory mission pursuant to Title 10 U.S. Code Â§ 124 of Detection
and Monitoring of aerial and maritime transit of illegal drugs, due to the failing and degraded state of facilities.
Without full funding, the JIATF-S mission will continue to operate out of existing failing facilities that do not meet
local hurricane and flood standards. The mission will endure the risk of catastrophic failure as a result of a significant
weather event or potential hazards associated with the inability to effect permanent repairs due to the age and
construction constraints of the existing facility. A cost-benefit analysis was completed in 2023 and the 100% design
is fully funded and ongoing with a completion date of July 2024. This is at the top of SOUTHCOM unfunded
priority list.",2026
"DesJarlais, Scott",TN,"Add/ Alter Test Cell Bay, B880",20000,"Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Dr. A242
Arnold AFB, TN 37389","Construct an addition (roughly 1,068SM-11,500SF) on the North East Corner of Building 880. The addition will
match current building construction, being roughly 50ft wide it will extend out 150ft from the current exterior wall.
The overhead bridge crane will be extended over the new footprint. Additional facility requirements like office
space, restrooms, equipment storage, and meeting rooms could be incorporated into the addition. This will require
demolition of numerous facilities/utilities/pieces of equipment tied to the abandon J2A and J3 test cells. All J2A and
J3 infrastructure would be removed to allow for the new addition. The project includes all utilities, site
improvements, pavements, detection/protection features, security enhancements and other supporting work
necessary to make a complete and useable facility. Facilities will be designed as permanent construction in
accordance with the Department of Defense Unified Facilities Criteria 1-200-01. This project will comply with
Department of Defense antiterrorism/force protection requirements per Unified Facility
Criteria 4-010-01.","The new addition will allow for test article transport vehicle to pull directly into test bay and unload test article safely.
This removes typical weather concerns that occur now as well as reduces security risk as the article will be behind
closed doors. Along with new space for test article delivery, there will be additional space for test article setup,
storage space for test cell equipment, and potentially space that is needed for additional offices, restrooms, and
conference rooms. Outside of the new addition, a short road will be needed to provide direct access to the current
transportation system, as well as additional parking for personnel that may park near the building.
Building 880 supports the J1/J2 test cells that are used for propulsion engine testing. When test articles are delivered
to the test cell, the transport truck is forced to park along a road way, and a large outdoor fork truck will then carry
the test article through a maze of old abandon test infrastructure to the test
building. Once at the test building, the article is placed on a cart, as the fork truck is not able to make entry into the
building. The article is pushed on the cart inside where the overhead crane will then take control of the article and it
will be installed in the test cell. All test article instrumentation/setup is done inside the test cell meaning this can only
be done when another engine is not testing. The demo of current abandon test structure, the addition to the building,
and the direct road way connecting the current infrastructure to the new addition, allow for the transport vehicle to
pull directly into the test bay and have the article unloaded. This also provided necessary space for the article to be
set up and have necessary instrumentation installed prior to testing which means this can be done while another
engine is being tested.
IMPACT IF NOT PROVIDED: Facility operations are inefficient during test article delivery and setup. If this
project is not executed, we will continue to see inefficient operations during delivery and setup as well as have other
shortfalls within the facility like limited restrooms space, office space, and conference room space.",2026
"DesJarlais, Scott",TN,"Water Cooling Expansion, Rowland Creek",55000,"Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Drive, Suite
A-242
Arnold AFB, TN 37389","The purpose of this project is to construct additional Cooling water capacity at Arnold Air Force Base. Cooling
Water is an installation-wide critical asset/utility as typical day to day operations and all testing requirements depend
heavily upon this commodity. With a new hypersonic ground test mission, reactivation of mothballed testing facilities,
and an increased workload across the instillation there is a need for additional cooling water capacity, flexibility, and
availability. In order to meet future testing requirements, Arnold will have to execute concurrent tests which will
driving cooling water requirements beyond current capability. Through evaluating multiple concurrent testing
scenarios it was determined that Arnold would need to be able to deliver up to 600,000 gallons/minute
(a few highly unlikely scenarios required even more), the ability to feed separate test cells at differing conditions, and
better utilize water collected at the retention reservoir which feeds the Rowland Creek Pumping Station. Though
several solutions were evaluated, this solution is the most economic while still meeting all of our requirements","Arnold Air Force Base is responsible for a wide array of Research, Development, Test, and Evaluation efforts
(specifically ground testing) that support the Air Force and other DoD entities on behalf of Air Force Test
Command. Unlike flight tests, ground tests require large utility capabilities to operate different propulsion stands,
wind tunnels, space chambers, and arc facilities. There are three pumping stations that all together have a pumping
capacity of 620,000 gallons/minute but due to limitations within the distribution system can only effectively deliver
460,000 gallons/minute. The Secondary Pumping Station and Rowland Creek Pumping Station share a cooling
water main which restricts overall capacity. Current operations allow us to mix flow between the Secondary
Pumping Station and Rowland Creek Pumping station but with this new parallel line Arnold AFB would be able to
deliver isolated flow from each pumping station to  the distribution system. The requirement for 2 new pumps is to
support isolated flow so Rowland Creek Pumping Station will have step down capability and deliver cooling water
at the appropriate flow/pressure. This improvement would increase our cooling water capacity from 460,000
gallons/minute to 620,000 gallons/minute.
IMPACT IF NOT PROVIDED: Current cooling water flow restrictions will prevent Arnold AFB
from being able to execute upcoming concurrent test requirements. With increased test
loads coming, the end result will be delays to one or multiple test programs or failure to
execute all testing requirements. Failure to execute could have detrimental effects to
the following test programs: Hypersonic Standoff Weapons, Turbine Based Combined Cycle,
Hypersonic Munitions, Data Masked Programs, Next Generation Bomber, and Future Strike
Aircraft.",2026
"Ellzey, Jake",TX,P-1050 Maintenance Hangar,50000,"NAS JRB
Fort Worth,
TX","NAS JRB Forth
Worth","1510 Chennault Ave
Fort Worth TX 76113","The funding would be used to renovate a U.S. Marine Corps Maintenance Hangar (P-1050). Specifically, funding
would be used to renovates the interior and exterior of hangar 1050 including towers 1, 2, 3 and 4 to better
accommodate crew, equipment, and administrative spaces. The hangar, built in 1955 with a Building Condition
Index (BCI) of 82, a condition rating of 78, and a configuration rating of 64.",The Committee authorized in FY25 NDAA,2026
"Feenstra, Randy",IA,VSSB249100 Repair Runway 13-31 (185th ARW),77000,"Sioux City, IA","185th Air Refueling
Wing","2920 Headquarters
Ave.
Sioux City IA 51111","Repair by replacement of the existing 9,002 LF runway, runway shoulders, aircraft arresting system.","The funding would be used for the repair by replacement of the existing 9,002 LF runway, runway shoulders, and
aircraft arresting system. The 185 ARW needs this replacement to continue its refueling mission into the future. The
185th ARW and its mission are crucial to national security, nuclear deterrence, and vital to the Great Power
Competition. Additionally, the servicemembers and other employees at the base are an integral part of the Siouxland
area’s economy and the community.
In 2003, the 185th transitioned from F-16 Fighting Falcons to take on the KC-135 Stratotanker mission with a
promise from the Department of Defense that their runway would be replaced.  The much heavier KC-135’s have
taken a toll on the runway designed for lightweight F-16’s over the past 20 years and has required waivers and
frequent repairs due to the lack of follow-up on the promised investment to replace the runway.",2026
"Fong, Vince",CA,"F-35 Aircraft Maintenance Hangar Addition (prior title:
Tactical Surrogate Hangar), NAS Lemoore",5000,"Lemoore, CA",NAS Lemoore,"700 Avenger Avenue
Lemoore, California
93246","To better support NAS Lemoore’s mission, $5 million in planning and design funding is needed for the proposed F-
35 Aircraft Maintenance Hangar Addition at NAS Lemoore, which would fully fund the planning and design needed
for this project. By prioritizing planning and design funding, this project would advance, leading to a facility that
would bolster base operations, training, and maintenance. As our country’s largest Master Jet Base, continued
investment in facilities at NAS Lemoore is critical, especially since NAS Lemoore is our nation’s sole installation to
host the Navy variant of this aircraft.","Kings County, home to NAS Lemoore, is very supportive of NAS Lemoore and its mission. Enclosed is a letter
from the Chairman of the Kings County Board of Supervisors in support of the F-35 Aircraft Maintenance Hangar
Addition.",2026
"Fong, Vince",CA,"Child Development Center, NAWS China Lake",1876,"China Lake,
CA",NAWS China Lake,"Naval Air Weapons
Station China Lake
Headquarters
1 Administration Circle

China Lake, CA 93555","$1.876 million in planning and design funding is needed to advance a proposed Child Development Center at
NAWS China Lake. This project is important because the current facility is a pre-fabricated facility that is aging and
is beyond its useful life. The current facility is not adequate to support the current demand for childcare, a critical
element of supporting the families of uniformed service members and their civilian counterparts. By investing in
planning and design for the proposed Child Development Center, this project would advance faster than currently
scheduled, and the Navy personnel at NAWS China Lake would benefit from a better facility, improving safety,
strengthening efficiency, and increasing morale.","The proposed Child Development Center at NAWS China Lake has widespread community support. Enclosed is a
letter from community members in support of this project.",2026
"Gimenez, Carlos A.",FL,"Joint Interagency Task Force - South Command and
Control Facility",90000,"Key West, FL","USSOUTHCOM/JI
ATF-South","9301 NW 33rd Street,
Doral, FL","Construction of new JIATF-S Command and Control facility to replace existing facility that is over 70 years old and
to support USSOUTHCOM missions of homeland security, counter narcotics, and counter human trafficking.","USSOUTHCOM requires a new Command and Control (C2) facility at NAS Key West to support the Joint Inter-
Agency Task Force - South (JIATF-S) mission. JIATF-S is responsible for the disruption and prevention of over
300 Metric tons of cocaine from arriving on U.S. streets every year. Illegal narcotics contribute to over 100,000
drug overdose deaths of Americans each year, and this number has increased by roughly 20% since 2020. This is a
good use of taxpayer dollars because JIATF-S is strategically located to easily team up with interagency and foreign
partners to accomplish this nationally directed counter narcotics fight. SOUTHCOM requests $90 million in FY26
to initiate construction once the design completes in FY24. JIATF-S facilities were constructed over 70 years ago
and have exceeded their service life. Multiple components are failing and cannot be repaired due to the condition of
the facilities, which presents a safety issue to personnel along with mission degradation. The JIATF-S C2 facility is
currently at significant risk of not meeting is statutory mission pursuant to Title 10 U.S. Code Â§ 124 of Detection
and Monitoring of aerial and maritime transit of illegal drugs, due to the failing and degraded state of facilities.
Without full funding, the JIATF-S mission will continue to operate out of existing failing facilities that do not meet
local hurricane and flood standards. The mission will endure the risk of catastrophic failure as a result of a significant
weather event or potential hazards associated with the inability to effect permanent repairs due to the age and
construction constraints of the existing facility. A cost-benefit analysis was completed in 2023 and the 100% design
is fully funded and ongoing with a completion date of July 2024. This is at the top of SOUTHCOM unfunded
priority list.",2026
"Gonzales, Tony",TX,Camp Bullis Army Reserve Center Building,5000,"Bexar County,
TX",Camp Bullis,"102 Army Pentagon,
Washington, DC
20310–0102","The Army Reserve Center would provide a permanent, modern facility for Military Intelligence units located at the
Southwestern Army Reserve Intelligence Support Center at Camp Bullis. This new facility would consist of
administrative space, a SIPRNet room, training/classrooms, assembly space, arms vault, physical readiness room,
equipment storage, and a vehicle and equipment maintenance shop which are critical components for a facility to
modernize and enhance training standards. To enact the construction of this much-needed permanent facility,
planning and design must be completed to swiftly enter the next phase for the buildout.","Camp Bullis is a critical U.S. Army training camp that underpins Joint Base San Antonio’s mission and plays a
central role in strengthening national military readiness. However, current MIRC units operate out of substandard,
relocatable trailers that are beyond its life expectancy. Without a permanent facility, maintenance costs for these
outdated trailers will continue to burden the budget in future years and reduce its ability to support the unique if
Military Intelligence units. Funding for the completion of the planning and design of this Army Reserve Center will
help expedite the process to construct a permanent facility.",2026
"Guthrie, Brett",KY,ARAC Aviation Support Facility,138000,"Ft Knox, KY",U.S. Army Reserve,"1160 Brandenburg
Station Road, BLDG
2327
Ft. Knox,
Kentucky,40121","This project is needed to construct a new maintenance hangar to support the Army Reserve rotary wing aviation
maintenance mission at Fort Knox. This facility will support mobilization, installation security, recovery efforts,
protection against inclement weather, and maintenance for aircraft. Current facilities are in poor condition and
cannot be fixed through routine renovation or repair. This project is a valuable use of taxpayer funds because it will
help construct a new maintenance hangar to ensure that the Aviation Command will continue to execute on their
mission of aviation maintenance for the U.S. Army and other similar aircraft. By upgrading these facilities, we can
ensure that our soldiers are in the best possible position to carry out their duties and serve their country.","Army Reserve Aviation units are currently assigned to five buildings (three Hangars, one Supply Tech, and one BN HQ) on Fort
Knox, Godman Army Airfield; Building 5253, Thunderbolt Hangar, 18,905 square feet (SF), 1952 vintage; Building 5256, Murphy
Hangar, 20,179 SF, 1959 vintage; Building 5217, Tech Supply, 9,088 SF, 1978 vintage; Building 5257, Phase Hangar, 35,392 SF,
vintage 1964, and Building 5101, BN HQ building, 36,678 SF, 1939 vintage. Due to their age and design constraints, these buildings
are dysfunctional and inadequate for current aviation maintenance mission standards. Maintenance costs are excessive, requiring
continuous effort to keep the facilities operational. Recurring issues include roof leaks, water main leaks, traveling crane limitations,
water sprinkler inspection failure and foam fire suppression system inadvertent discharges. The design and current condition of
these buildings present major obstacles for achieving mission and equipment readiness, as such the Army Reserve must make
constant adjustments to operational schedules. As an example, aviation units must package and ship blades and other components
off site for painting which is an inefficient use of resources. The Installation Status Report Mission rating for the hangars is F4 for
non-functional.

Army Reserve aviation assets will continue to operate in dysfunctional and inadequate facilities weakening mission readiness and
funding facility repairs that only provide marginal operational capability. Excessive dollars are spent shipping components off site
for repair due to the lack of space and the antiquated design of the existing facilities.

Required assessments have been made for supporting facilities and the project is not in a 100-year floodplain in-accordance-with
Executive Order 11988. This project has been coordinated with the installation physical security plan, and all physical security
measures are included. All required antiterrorism protection measures are included. Alternative methods of meeting this
requirement have been explored during project development. This project is the only feasible option to meet the requirement. The
Deputy Assistant Secretary of the Army (Installations, Housing and Partnerships) certifies that this project has been considered
for joint use potential. The facility will be available for use by other components. Sustainable principles, to include life cycle cost
effective practices, will be integrated into the design, development and construction of the project and will follow the guidance
detailed in the Army Sustainable Design and Development Policy complying with applicable laws and executive orders.",2026
"Hudson, Richard",NC,"Special Operations Forces (SOF) Joint Intelligence
Center (JIC)",81000,"Cumberland
and Hoke
Counties, NC",Fort Bragg,"H-2313 Psyop Lane,
Fort Bragg, North
Carolina 28303","Construct a Command and Control Facility for the 1st Special Forces Command (1SFC) (Airborne) at Fort Bragg,
North Carolina.
Details: Construct a two-story command and control facility consisting of general purpose administrative and
readiness modules, a secure working area, classrooms, conference rooms, and supporting infrastructure.
Construction will include a concrete foundation and floor slab, masonry exterior, and sloped metal roof. Special
features to meet DIA secure area certification requirements will be incorporated. Department of Defense principles
for high performance and sustainable building requirements will be included in the design and construction of the
project in accordance with federal laws and Executive Orders. Low Impact Development features will be included
in the design and construction of this project as appropriate. Appropriate cybersecurity measures will be applied to
the facility-related control systems in accordance with current Department of Defense criteria. Access for individuals
with disabilities will be provided. Comprehensive interior design and audio-visual services are included.","This project is required to provide an adequate facility that enables joint intelligence operations for 1SFC. The JIC
