member_name_last_first,state,project_name,amount_requested_in_thousands_of_dollars,project_city_county_state,recipient_name,recipient_address,project_purpose,project_justification,fiscal_year
Base","202 Liberty Way
Dover AFB, DE 19902","Construct a 3,069 square meter (SM) facility for the 512th Airlift Wing (AW) Operations Group (OG)
including all required supporting utilities, pavements, site improvements, and communications. Facility 270, th
existing 512 OG facility, will be demolished upon construction completion of the new facility. Demolition will
include the removal and disposal of all related hazardous materials. Structure will comply with base
architectural compatibility standards. The facility will comply with applicable DoD, Air Force, and installation
design standards. Additionally, local materials and construction techniques will be used where cost effective.
The project will comply with DoD antiterrorism/force protection requirements per Unified Facilities Criteria.","The project would enhance the readiness of an important reserve airlift wing on the East Coast centrally located in the Mid-Atlantic.
Units from Dover Air Force Base have participated in important missions to EUCOM, AFRICOM, and CENTCOM. This project has
local support - currently the Central Delaware Chamber of Commerce supports the project.
Building 270 at Dover AFB is occupied by the 512 OG Staff, 512 OSS, 709 AS, and 326 AS with a combined manning of over 350
personnel and does not have enough square footage to adequately support all assigned airmen. The building has been modified to crea
additional needed office and meeting space by repurposing hallways, storage closets, and locker rooms. This has resulted in deficienc
of storage space that were remedied by comingling mobility equipment and supplies with occupied workstations, as well as using spa
within briefing rooms and restrooms. The greatest impact to the mission is the limited amount of space available for computer
workstations, with less than 60% of the total authorization available. Squadrons have added as many as three workstations to single
workstation desks in an effort to compensate for the space deficiency. Despite these efforts, the number of available workstations
remains inadequate, and the basic duties and training of airmen is negatively impacted by limited computer access during Unit Traini
Assembly (UTA) weekends. By doubling and tripling the intended capacity of workstation desks, the quality of life for airmen degrad
In total, B270 is deficient 3,451 net square feet (NSF) of facility space. If not provided, the 326 AS and 709 AS will have to continue
find ways to compensate for space deficiencies without this project. Prolonged reliance on compensatory measures to accomplish the
mission-related tasks has the potential to negatively affect the mission and morale. The Facility itself has condition issues such as
numerous roof leaks where water infiltration has caused interior damage to the building and equipment that are detrimental to health
safety.",2025
"Case, Ed",HI,Red Hill Water Treatment Facility,160000,"Honolulu, HI","U.S. Department of
the Navy","1000 Navy Pentagon,
Room 4D652
Washington, DC 20350","This project would construct a drinking water treatment facility for removing potential contaminants and
ensuring that the water meets all federal and state drinking water standards. The project includes vertical
turbine well pumps, packed tower aerator system with blowers and transfer pumps, granular activated carbon
systems, and chemical treatment systems.","Attached is a letter of support for the Mayor of the City and County of Honolulu and DD1391.

If this project is not funded, it will lead to an extended shutdown of the Red Hill water pumping facility,
potentially allowing contaminants to migrate further into the groundwater aquifer and exposing the general
public’s drinking water system to contamination. The permanent loss of the Red Hill water supply would also
significantly reduce the water resources available to meet the demands at Joint Base Pearl Harbor-Hickam and
strain operations at the military’s other water supply sources. In addition, the inability to mitigate a known
potential contamination event when a proven and effective treatment exists is eroding servicemembers and the
public’s confidence that the Navy drinking water system is safe.

Note - the full cost of the project is $505 million, but this request is for the incrementally executable amount of
$160 million.",2025
"Crow, Jason",CO,"Power Independence Project, Buckley SFB",65000,"Aurora, CO","Space Base Delta 2,
Buckley SFB CO","510 South Aspen St,
Buckley SFB CO
80011-9572","The Power Independence Project at Buckley SFB CO is the US Space Force #1 FY25 Unfunded Priority.
Failure to accelerate this project to FY25, will have critical operational impacts on the ability to field new
Missile Warning capabilities due to current power capacity limits.","Funding this project in FY25 is a national security imperative.  Currently this project is funded as a FY27
MILCON project which is late to need.  Based on current power capacity challenges, Buckley SFB will reach
current power capacity early in FY27, delaying the fielding of two new missile warning/missile tracking
capabilities.  Since this project will take 18 months to 2 years to complete, funding in FY25 is crucial and why
this has been ranked as the USSF # 1 priority.  Failure to support this request drives critical operational
shortfalls and dramatically increases national security risk for a minimum of two years.",2025
"Davis, Donald",NC,"COMBAT ARMS TRAINING & MAINTENANCE
COMPLEX",41000,"Goldsboro,
NC","Seymour Johnson
Air Force Base","1095 Peterson Ave
Goldsboro, NC  27531","To construct a single Combat Arms Facility to include a 35-lane range, classrooms, administration, weapons
cleaning, weapons maintenance, weapons and ammunition vault, and range supplies storage. The facility will
also include a Security Forces Logistics and Readiness Warehouse/Armory Weapon Storage area. Facility
construction consists of a reinforced concrete foundation, a waterproof concrete floor slab with floor drains, a
structural steel frame, masonry walls, and a flat roof. The firing range will have steel deflector plates, bullet
traps, overhead baffles, utilities, heating, ventilation and air conditioning, an exhaust system,
and sound reflection reduction. This facility will include sustainable special construction features for savings in
utilities and maintenance.","Commanding Colonel Lucas Teel has outlined the request as the top priority for SJAFB. The base is located in
one of the most economically distressed counties in the state, designated as a Tier 1 county by the North
Carolina Department of Commerce. With the potential loss of 520 jobs from a fighter squadron divestment,
the local community desperately needs an economic lifeline. Further, servicemembers and their families at the
base have asked for additional resources to ensure their safety and quality of life. In lieu of funding for the
Child Development Center or KC-46 Alert Facility, they desperately need some support in the form of CATM
funding. Community support letters further outline the rationale for the request.",2025
"DesJarlais,
Scott",TN,Nitrogen Conversion Facility,5100,"Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Dr. A242
Arnold AFB, TN
37389","This project provides a new nitrogen conversion facility outside theJ4 explosives zone. This new facility will
include all equipment to store and convert liquid nitrogen to 5000 psig gaseous nitrogen and will be tied into th
Gaseous Nitrogen system.","Construct a new nitrogen conversion facility outside the J4 explosives zone. This new facility will include
reinforced
concrete foundation, pre-fabricated metal facility, restrooms, A/C units. Additional requirements include all
equipment to store and convert liquid nitrogen
to 5000 psig gaseous nitrogen and will be tied into the utility GN2 system. Dewars, cryo pumps, heat
exchangers, piping, valves, steam regulators, instrumentation. In addition, all utilities/site prep necessary to
support
facility. Old facility does not adequately provide needs and is in a hazardous zone.",2025
"DesJarlais,
Scott",TN,Add/AlterTest Cell Bay,21000,"Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Dr. A242
Arnold AFB, TN
37389","Building 880 supports the J1/J2 test cells used for
propulsion engine testing. When test articles are delivered to the test cell, the transport truck is forced to park
along a roadway, and a large outdoor fork truck will then carry the test article through a maze of old
abandoned test infrastructure to the test building. Once at the test building, the article is placed on a cart, as the
fork truck
cannot enter the building. The article is pushed on the cart inside where the overhead crane will take control of
it, and it will be installed in the test cell. All test article instrumentation/setup is done inside the test cell,
meaning this can only be done when another engine is not being tested. The demo of the current abandoned
test structure, the addition to the building, and the direct roadway connecting the current infrastructure to the
new addition allow the transport vehicle to pull
directly into the test bay and unload the article. This also provided the necessary space for the article to be set
up and have necessary instrumentation installed prior to testing which means this can be done while another
engine is being tested. Facility operations are inefficient during test article delivery and setup.","If this project is not executed, we will continue to see inefficient operations during delivery and setup as well a
have other shortfalls within the facility like limited restroom space, office space, and conference room space.",2025
"DesJarlais,
Scott",TN,"Cooling Water Expansion, Rowland Creek, 20009",55000,"Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Dr. A242
Arnold AFB, TN
37389","Cooling water is an installation-wide critical asset/utility as typical day-to-day operations, and all testing
requirements depend heavily upon this commodity. With a new hypersonic ground test mission, reactivation of
mothballed testing facilities, and an increased workload across the installation there is a need for additional
cooling water
capacity, flexibility, and availability. In order to meet future testing requirements, Arnold will have to execute
concurrent tests, which will drive cooling water requirements beyond current capability. Through evaluating
multiple concurrent testing scenarios, it
was determined that Arnold would need to be able to deliver up to 600,000 gallons/minute (a few highly
unlikely scenarios required even more), the ability to feed separate test cells at differing conditions, and better
utilize water collected at the retention reservoir which feeds the Rowland Creek Pumping Station. Though
several solutions were evaluated, this solution is the most economic while still meeting all of our requirements.
This improvement would increase our cooling water capacity from 460,000 gallons/minute to 620,000
gallons/minute.","Current cooling water flow restrictions will prevent Arnold AFB from being able to execute upcoming
concurrent test requirements. With increased test loads coming, the end result will be delays to one or multiple
test programs or failure to execute all testing requirements. Failure to execute could have detrimental effects to
the following test programs: Hypersonic Standoff Weapons, Turbine Based Combined Cycle, Hypersonic
Munitions, Data Masked Programs, Next Generation Bomber, and Future 6th
Generation Fighter Aircraft and Future Strike Aircraft.",2025
"Ellzey, Jake",TX,P-1050 Maintenance Hangar,75000,"NAS JRB Fort
Worth, TX","NAS JRB Forth
Worth","Naval Air Station Joint
Reserve Base Fort
Worth
1510 Chennault Ave
Fort Worth, TX 76113","Renovates the interior and exterior of hangar 1050 including towers 1, 2, 3 and 4 to better accommodate crew,
equipment, and administrative spaces.","This project is on the US Marine Corps Unfunded MILCON Priority List.
Hangar 1050 is a large hangar that is used for storage and maintenance of cargo planes. The interior of the
hangar contains four separate towers that house administrative offices and maintenance shops for the Marine
Corps reservists. The facility was built in 1955,
with a Building Condition Index (BCI) of 82, a condition rating of 78, and a configuration rating of 64.
The current construction layout and crane configuration do not support the KC-130J.",2025
"Escobar,
Veronica",TX,Collective Training Barracks,7100,"El Paso, TX",USAG Fort Bliss,"Directorate of Public
Works
Master Planning
Division
Master Planning
Branch
Building 777, Room
117
1733 Pleasonton
Road
USAG Fort Bliss, TX","To cover Planning and Design costs to construct a standard design battalion sized Operational Readiness
Training Complex
(ORTC).","Additional barracks are required to fulfill housing needs of Fort Bliss to support its current and future training
missions.
There is a large number of transient soldiers from Active Army, Reserve Component, Army National Guard,
and other military components supported by Fort Bliss, as well as personnel from deploying units who are on
medical hold, all simultaneously demanding use of facilities and straining the existing infrastructure at
McGregor Range Camp. Only one battalion set of ORTC facilities is currently available to support this mission
This unprecedented demand is forcing transient soldiers to be housed in a combination of deteriorated
temporary facilities and unacceptable semi-permanent facilities that are ready for demolition. Many of these
facilities do not provide heating and air-conditioned systems or latrine facilities. Additionally, off post leased
hotels are being used as a temporary alternative, causing a multi-million-dollar annual cost.",2025
"Escobar,
Veronica",TX,Collective Training Barracks,72800,"El Paso, TX",USAG Fort Bliss,"Directorate of Public
Works
Master Planning
Division
Master Planning
Branch
Building 777, Room
117
1733 Pleasonton
Road
USAG Fort Bliss, TX","Construct a standard design battalion sized Operational Readiness Training Complex (ORTC) in two phases.
This project is Phase 1, and Phase 2 is PN 75645 FY30.

Additional barracks are required to fulfill housing needs of Fort Bliss to support its current and future training
missions.","There is a large number of transient soldiers from Active Army, Reserve Component, Army National Guard,
and other military components supported by Fort Bliss, as well as personnel from deploying units who are on
medical hold, all simultaneously demanding use of facilities and straining the existing infrastructure at
McGregor Range Camp. Only one battalion set of ORTC facilities is currently available to support this mission
This unprecedented demand is forcing transient soldiers to be housed in a combination of deteriorated
temporary facilities and unacceptable semi-permanent facilities that are ready for demolition. Many of these
facilities do not provide heating and air-conditioned systems or latrine facilities. Additionally, off post leased
hotels are being used as a temporary alternative, causing a multi-million-dollar annual cost.",2025
"Gaetz, Matt",FL,Hurricane Restoration Consolidated (A) School Dorm,160480,"NAS
PENSACOLA
FL
PENSACOLA
, FLORIDA,
FL","NAS PENSACOLA
FL PENSACOLA,
FLORIDA","Navy Operational
Liaison Officer
7550 USS ESSEX
Street
Milton, Florida
32570
NAS Whiting Field",construct a Hurricane Restoration Consolidated (A) School Dorm for Naval Air Station Pensacola.,docs will be transmitted directly to committee.,2025
"Gaetz, Matt",FL,Child Development Center,34000,"EGLIN AIR
FORCE
BASE,
FLORIDA
EGLIN AFB
SITE #1 (E,
FL","EGLIN AIR
FORCE BASE,
FLORIDA EGLIN
AFB SITE #1 (E","Eglin AFB Directory
2801 Eglin Blvd,
Navarre, FL 32542
850-882-1110","Construct a medium CDC that is adequately sized and configured per the standard design and meets all Air
Force Standards to include force protection. The CDC is required to provide a safe and healthy environment
that includes early childhood development and preschool programs for dependents of active duty military
personnel. The facility will include age appropriate child activity rooms, administrative offices, a staff break
room, storage space, kitchen facilities, laundry, outdoor activity areas, and all other required operational
capabilities. Child Development Center space is required for 200children.",docs attached.,2025
"Gaetz, Matt",FL,HC-BLACKFyRE FACILITIES,96000,"EGLIN AIR
FORCE
BASE,
FLORIDA
EGLIN AFB
SITE #1 (E,
FL","EGLIN AIR
FORCE BASE,
FLORIDA EGLIN
AFB SITE #1 (E","Eglin AFB Directory
2801 Eglin Blvd,
Navarre, FL 32542
850-882-1110","Construct Air Force Research Laboratory Munitions Directorate HC- BLACKFYRE
Advance Weapons Experimentation Complex to provide the Air Force’s principal resource for ordnance
research and development and examining high speed/pressure impact which supports the AF 2030 S&T
Strategy. As such, the mission needs move toward enabling National Defense Strategy (NDS) key
technology areas in hypersonic, directed energy, autonomous swarm weapons, and terminal engagement,
while providing state-of-the-art diagnostics and rapidly reconfigurable/re-usable targets, all in a safe, secure,
and efficient environment.",form pending and will be sent to committee directly.,2025
"Gaetz, Matt",FL,EMSO Superiority Complex,169000,"EGLIN AFB
Eglin A F B
Florida, FL","EGLIN AFB Eglin
A F B Florida","Eglin AFB Directory
2801 Eglin Blvd,
Navarre, FL 32542
850-882-1110","Construct a multi-level controlled environment space facility to accommodate the 350th Spectrum Warfare
Wing Headquarters facility, and a separate facility to accommodate the 36th Electronic Warfare Squadron.
The Spectrum Warfare Wing facility will require space for the 350th Headquarters staffing, administration
space for the 350th Spectrum Warfare Group and the 850th Spectrum Warfare Group Headquarters staffing.
Additional space for two Electronic Warfare Squadrons and innovation labs will also be required. The 36th
Electronic Warfare Squadron will require space for the Headquarters staffing and miscellaneous labs. The
facility will be a sprinkler-equipped facility consisting of a reinforced concrete foundation, structural
steel framed, split-faced concrete masonry block and sloped standing seam metal roof. Project provides all
utilities, site improvements, parking, fire detection and protection,heating/ventilation/air conditioning,
secure communications, landscaping, and all necessary supporting work for a complete and usable facility.
Facility will be designed as permanent construction in accordance with Department of Defense Unified
Facilities Criteria 1-200-01.",DD-1391 & support letter attached.,2025
"Gaetz, Matt",FL,"REPAIR AIRCRAFT MAINTENANCE HANGAR
3260 HURRICANE SALLY",73235,"NAS
PENSACOLA
FL
PENSACOLA
, FLORIDA,
FL","NAS PENSACOLA
FL PENSACOLA,
FLORIDA","150 Hase Rd,
Southwest, Pensacola,
FL 32508","This project repairs Hurricane Sally damage to Building 3260, Aircraft Maintenance
Hangar. This project includes the repair to damaged exterior enclosure, roofing, interior
sections, HVAC system, fire protection system, electrical connections, includes demolition of building components, site improvemen
cybersecurity features, and
cybersecurity commissioning.
Renovation of Hangar 3260 includes repairing and replacing corroded superstructure steel
framing, bracing, fasteners, connection gusset plates, fasteners, roofing system, roofing
panels, and related structural systems to restore hangar structural stability.
D30 HVAC: Disconnects existing HVAC electrical connections to be replaced and provide new
electrical connections to HVAC equipment as required. Provides disconnects, starters,
branch wiring/conduit and breakers as required to coordinate with HVAC equipment.
D40 Fire Protection Systems: Updates fire protection system to be compliant with current
National Fire Protection Association (NFPA) code.
Installation of LED lights in the Tire Shop of Hangar 3260 provides an updated and code
compliant lighting system.
This project installs a new chiller / boiler to support Hangar 3260.
Facility-related control systems include cybersecurity features in accordance with
current DoD criteria.
This project will provide Antiterrorism (AT) features and comply with applicable service
and Geographic Combatant Commander policies and directive per Unified Facilities Criteria
(UFC) for DoD Minimum Antiterrorism Standards for Buildings.
Randolph Sheppard Act will be evaluated and incorporated in accordance with OPNAVINST
4535.1B and UFC 1-200-01.
Department of Defense and Department of the Navy principles for high performance and
sustainable building requirements will be included in the design and construction of the
project in accordance with federal laws and Executive Orders. Low Impact Development will","copy of DD-1391 and support letters attached
s,",2025
"Gaetz, Matt",FL,Advanced Helicopter Training System Hangar,91500,"NAS
WHITING
FLD
MILTON FL
WHITING
FIELD,
FLORIDA,
FL","NAS WHITING
FLD MILTON FL
WHITING FIELD,
FLORIDA","Navy Operational
Liaison Officer
7550 USS ESSEX
Street
Milton, Florida
32570
NAS Whiting Field","Constructs an Advanced Helicopter Training System (AHTS) aircraft maintenance hangar, with
capacity for servicing 37 of the 130 new helicopters being procured for the AHTS, and
space for three-helicopter pilot training squadrons. The building consists of one, drivethrough,
high-bay hangar, with crew, equipment, training, administrative, data network
areas and a limited food vending area. Construction will consist of a steel-framed super
structure bearing on shallow concrete foundations. Exterior wall systems include brick
veneer, insulated metal wall panels and insulated translucent wall panels. Interior wall
systems include a combination of concrete masonry unit walls and gypsum board on coldformed
metal supports walls. A low-slope standing-seam metal roofing system will be
provided, as well as two sets of hangar sliding doors.
Facility-related control systems include cybersecurity features in accordance with current",copy of DD-1391 attached with community support letter.,2025
"Garamendi,
John",CA,MULTI-DOMAIN OPERATIONS COMPLEX,148000,"BEALE AIR
FORCE
BASE , CA","9th Reconnaissance
Wing Base Civil
Engineering","17801 Warren Shingle
Blvd. Beale AFB, CA,
United States 95903-
0000","This project allows for the implementation of next
generation high altitude reconnaissance sensors and for the addition of theater
wide Command and Control functions to high-altitude aircraft. This project is
required to divest ~60% of Building 1086, a cornerstone of Beale's long-range
facility strategy, and to provide a purpose-built facility, complete with
information technology architecture, power, and building systems required to
support current and future mission requirements. This is not a tenant or supported
service requirement.","The Air Force will be unable to support the modernization of the 1960's Cold War
era infrastructure and the incorporation of next generation technologies will be
further delayed. Geographically dispersed functions will continue to cause
inefficiencies in daily operations. Personnel in Building 1086 will continue to
work in an unhealthy, unsafe environment with numerous Fire Safety Deficiencies
and Risk Assessment Codes.",2025
"Garcia,
Robert",CA,"Army Reserve Training Center, Bell, CA",55000,"Bell, CA","63rd Readiness
Division","230 RT Jones Road,
Mountain View, CA
94043","•The new Army Reserve facilities at Bell, CA will provide the necessary infrastructure to train and equip Army
Reserve Soldiers and leaders from which the Active component may draw upon for critical warfighting
capabilities which are inherent to deployable combat forces.
•The training center must be strategically located on the existing site of the Patton Hall ARC in Bell. The 34
assigned units consisting of transportation, quartermaster supply, military history, military intelligence,
broadcasting, public affairs, engineer vertical construction, interrogation, chemical biological radiological
nuclear, and Army Reserve Career Counseling will be reassigned to the new training center.
• The project will provide essential infrastructure to achieve operational readiness of the assigned missions.
•Two buildings at the Bell Armed Forces Reserve Center (55,474 square feet) will be demolished upon project
completion.",DD-1391 attached,2025
"Golden, Jared
F.",ME,Automated Qualification Training Range,1000,"Winn, ME","Maine National
Guard","32 Statehouse Station
Building 7
Camp Keyes
Augusta, M 04333","The automated qualification training range is designed to meet the training, testing and qualification
requirements for individually assigned and crew served weaponry for the 1,925 authorized Soldiers of the
MEARNG.  These facilities will permit the MEARNG to conduct weaponry training per TC 25-8 and
individual qualification requirements per TC 3-20.40 that does not exist internal to the state of Maine or
neighboring state.

This project is critical to the state of Maine due to Maine training sites not supporting modern weapon
qualification functionality or requirements.  Current MEARNG ranges consist of two non-standard small arms
targetry ranges in Gardiner and Bangor Maine with no means of complete individual or crew serve weaponry
training or qualification internal to the state.  The MEARNG does not possess internal means to train to TC 3-
20.40 qualification requirements due to lack of modern range facilities per TC 25-8.  MEARNG Soldiers are
required to travel to Camp Ethan Allen Training Sites (CEATS) in Jericho VT, or Fort Devens MA to meet
modern weapons qualifications standards.  This will save limited unit training days and budgetary funding for
the MEARNG each training year, while supporting unit readiness efforts.","Attached documents are:

Adjutant General’s Narrative for the FY 24 Real Property Development Plan from BG Dianne Dunn

Letter of support for the Project from the Assistant Adjutant General BG Blair Tinkham

Draft letter of support from the President of the National Guard association of Maine (NGAME) COL William
Dionne",2025
"Gonzales,
Tony",TX,"JBSA-Lackland Air Force Base Basic Military Trainin
Classrooms/Dining Facility 4 (3300 Air Force, Military
Construction MPLS220527)",75000,"San Antonio,
TX",US Air Force,"1720 AIR FORCE
PENTAGON
WASHINGTON, DC
20330-172020","Construct a Basic Military Training Classroom and Dining Facility Complex at JBSA in San Antonio utilizing
conventional design and construction methods to accommodate the mission of the facility. The construction
includes a multi-story facility.","The Air Force has identified this project as one of its top unfunded priority projects. Providing adequate
housing and education facilities is essential to service members and their families. This project aligns with the
Air Force’s goal of enhancing quality of life services and increasing retention rates.

The new classroom and dining facility at JBSA will support thousands of new recruits annually. Without
adequate facilities, the US Air Force will have difficult recruiting, training, and retaining new recruits. This
much-needed facility will provide a kitchen, dining areas, and multiple classrooms for residents of two Airmen
Training complexes.",2025
"González-
Colón,
Jenniffer",PR,National Guard Vehicle Maintenance Shop,63000,"Gurabo, PR","Puerto Rico
National Guard","552 Borinqueneer
Street
Fort Buchanan, PR
00934","This Community Project Funding (CPF) request would fund the construction of a 47,696 square-foot National
Guard Vehicle Maintenance Shop in Gurabo, Puerto Rico that supports administrative and logistical
requirements for the Puerto Rico Army National Guard.  The project—included in the National Guard
Bureau’s Fiscal Year 2025 Unfunded Priorities List (UPL)—would replace the existing facility that was
destroyed by Hurricane Maria in 2017 and is no longer viably operational.  The new construction of a vehicle
maintenance shop would improve the Puerto Rico Army National Guard’s readiness, providing the necessary
space and infrastructure to address backlogs and repair and perform maintenance on all unit military vehicles.
It would also reduce operational costs from having to transport vehicles to other locations for maintenance
needs, and ensure equipment readiness to support both federal and state missions.","Construction funding for a new National Guard Vehicle Maintenance Shop is critical to provide the Puerto
Rico Army National Guard with an adequate, up-to-standard facility to repair and perform maintenance on all
unit military vehicles.  The prior existing structure, built in 1971, was destroyed by Hurricane Maria in 2017
and is no longer viably operational.  Without a new facility, supported units will lack a place for equipment
maintenance and storage, negatively impacting overall mission readiness and training requirements for the
Puerto Rico Army National Guard.
The CPF request is for purposes authorized by 10 U.S.C. Chapter 169.  The project is also included in the
National Guard Bureau’s Fiscal Year 2025 UPL.
The required DD-1391 form and a letter of support from the Mayor of the Municipality of Gurabo, Puerto
Rico—where the project will be located—are included.",2025
"Guthrie, Brett",KY,"Aviation Support Facility, Fort Knox, Kentucky",138000,"Godman
Army Airfield,
Fort Knox
(Hardin
County), KY","U.S. Army Reserve
Aviation Support
Facility","1160 Brandenburg
Station Road, BLDG
2327, Ft. Knox, KY,
40121","This project is required to provide a Maintenance Hangar to support the Army Reserve rotary wing aviation
maintenance mission at Fort Knox. This facility will provide the 8th BN, 229th Aviation Regiment
(ASSAULT)(UH-60), and portions of 5th BN, 159th Aviation Regiment with an appropriate facility for its
rotary wing aviation maintenance mission. This project ensures world class facilities for USAR Aviation of
2030 at the largest concentration of Reserve Component Aviation in the world with 53 aircraft and 1,100+
personnel. Current facilities are of outdated design configurations and in such poor condition that they cannot
be corrected with practical renovation or repair. In more detail, this project would construct a 132k square feet
Aviation Support Facility (ASF), at Fort Knox, KY. The site plan that positioned two hangars in the most
optimal setting, while also meeting mission requirements, minimizing  environmental impact, leveraging the
locations and capacity of the existing utilities all the while siting the facilities such that they  best align with
intent of Fort Knox, KY Main Post Area Development Plan (ADP).","Godman Army Airfield contains medium-small, fixed wing and rotary wing aircraft. There are 45 rotary-wing aircraft and ei
wing airplanes assigned to Fort Knox. During inclement weather Aviation Support Facilities (ASF) Knox may support up to
wing aircraft from sister units at the airfield. The average annual Kentucky economic impact of aviation support facility (AS
about $250 million. Even so, 80% of ASF personnel are KY civilians/residents. There are 2,289 non-DOD jobs, $70 million
DOD wages, $199 million dollars spent in the Commonwealth.
Army Reserve Aviation units are currently assigned to five buildings (three Hangars, one Supply Tech, and one BN HQ) on
Knox, Godman Army Airfield. Due to their age and design constraints, these buildings are dysfunctional and inadequate for
aviation maintenance mission standards. Maintenance costs are excessive, requiring continuous effort to keep the facilities op
Recurring issues include roof leaks, water main leaks, traveling crane limitations, water sprinkler inspection failure and foam
suppression system inadvertent discharges. The design and current condition of these buildings present major obstacles for ac
mission and equipment readiness, as such the Army Reserve must make constant adjustments to operational schedules. As an
example, aviation units must package and ship blades and other components off site for painting which is an inefficient use o
resources. The Installation Status Report (ISR is a web-based database, and it computes an ISR Q or F rating. These facility
condition ratings are used as screening criteria) Mission rating for the hangars is F4. Army Reserve aviation assets will conti
operate in dysfunctional and inadequate facilities weakening mission readiness and funding facility repairs that only provide
operational capability. Excessive dollars are spent shipping components off site for repair due to the lack of space and the ant
design of the existing facilities
Project support:
8-229th Assault Helicopter Battalion
5-159th General Support Aviation Battalion which includes a MEDEVAC company and Air Traffic Control Company
USAR Aviation Support Facility (full-time civilian maintenance and operations)",2025
"James, John",MI,"Design Funding ARNG Readiness Center - Detroit
Olympia Armory",5100,"Detroit, MI","Michigan National
Guard","3411 N. Martin Luther
King Jr. Blvd.
Lansing, MI 48906","Request design dollars for a 43,681 SQFT National Guard Readiness Center that supports individual and
collective training, administrative, automation and communications, and logistical requirements for the
MIARNG. This facility will be built on the State of Michigan Military Installation known as Detroit Olympia i
Detroit, Michigan.","Major General Paul Rogers, the Adjutant General of Michigan, has requested this design funding to our office
personally. This project is in the FYDP for FY29.",2025
"Johnson,
Mike",LA,Barksdale ADAL Child Development Center,22000,"Barksdale
AFB, LA","Barksdale Air Force
Base","147 Barksdale Blvd
E,
Barksdale AFB, LA
71110","I am requesting $22M in funding for the construction of a new ADAL Child Development Center (CDC) at
Barksdale Air Force Base in Fiscal Year 2025. The entity to receive funding for this project is the United
States Air Force (Barksdale Air Force Base), located at 147 Barksdale Blvd E, Barksdale AFB, LA, United
States 71110. The funding would be used to construct a thirteen-room addition to the existing CDC. It is on
the recently released FY25 Air Force Unfunded Priority List under project #AWUB155000.","This project is an appropriate and necessary use of taxpayer funds as the existing CDC is inadequate in size, in
poor physical condition, and limits to childcare services at Barksdale AFB. This project will allow a major step
forward in reducing the overcrowding of the CDC and improving the environment for dependent children and
their families. This project is on the Air Force FYDP and P&D that was provided by Congress in FY24. The
project has a federal nexus because the funding provided is for purposes authorized by 10 U.S.C. Chapter 169.",2025
"Kiggans,
Jennifer A.",VA,"CHILD DEVELOPMENT CENTER - Planning &
Design",1200,"Virginia
Beach, VA",NAS Oceana,"1750 Tomcat Blvd,
Virginia Beach, VA
23460","Child development, care of infants and toddlers. Support of school-age youth physical, social, emotional and
cognitive abilities, and their experience of achievement, leadership, enjoyment, friendship, and recognition.
Construct a new facility, Demolish existing facilities or reassign for another use.",Inadequately sized facility prohibits full operational capability and requirement.,2025
"Kiggans,
Jennifer A.",VA,Unaccompanied Housing,73320,"Virginia
Beach, VA",NAS Oceana,"1750 Tomcat Blvd,
Virginia Beach, VA
23460","Constructs a 12,152 m2 (130,803 SF) unaccompanied enlisted housing building for permanent party junior
enlisted personnel. The UH building will provide 248 bedrooms for up to 496 personnel and will comply with
UFC 4-721-10N,
Navy and Marine Corps UH. Scope includes demolition of UH building 431.",Uploading documentation,2025
"Kiggans,
Jennifer A.",VA,"Fort Story Child Development Center - Planning &
Design",1200,"Little Creek,
VA","JEB Little Creek-
Fort Story","1450 Gator Blvd, Bldg
3165
Virginia Beach, VA
23459-8619","Construct a one story (20,139 SF), energy efficient, handicapped accessible Child Development Center (CDC) to support 12
children on Joint Expeditionary Base Little Creek-Fort Story.
The building will be constructed with a pile foundation, concrete floor, masonry walls, and terne-coated stainless steel roof, g
and downspouts.
The facility will include a closed circuit TV systems; intrusion detection system; a public address system; fire protection syst
heating, ventilation, and air conditioning system; mechanical and electrical utilities; and sound attenuation.
Functional areas include a mechanical room, offices, toilets, isolation room, staff lounge, kitchen, food storage, teacher's stor
teacher's preparation room, reception area, and activity rooms for infants, toddlers and preschool children.
Supporting facilities include mechanical/electrical utilities, sidewalks, designated drop & pick up location, parking lot, a fenc
playground (50% of the playground area to be covered with awnings).
Site improvements include earthwork, topsoil/seed, storm drainage, environmental protection, and landscaping.
A pump station needs to be included in construction do to the poor water pressure on Fort Story.
Low impact development principles will be applied. Stormwater management will be included.","DD-1391 uploaded
tters,
m;
ge,
d",2025
"Kim, Andy",NJ,Vertical Skills Instruction Facility,15000,"Joint Base
McGuire-Dix-
Lakehurst, NJ","Joint Base McGuire-
Dix-Lakehurst","Joint Base McGuire-
Dix-Lakehurst, New
Jersey","Updating the infrastructure at Joint Base McGuire Dix Lakehurst, especially on the Dix/Lakehurst side of the
Joint base (JB) is critical both for  retaining mission as well as recruiting new missions. The current training
facility for vertical training (carpentry, masonry-building skills) is semi-permanent and is insufficient to meet
the upcoming training requirements.","As set forth in the accompanying Form 1391, the project if funded will construct new Vertical Skills (Material
Handling) and General Instruction Classroom facilities. Building will be of semi-permanent construction with
concrete floor slabs; pre-engineered steel panels; low-slope or sloped roof; Heating, Ventilation and Air
