"MEMBER NAME
(LAST, FIRST)",STATE,PROJECT NAME,"AMOUNT
REQUESTED
(In Thousands
of Dollars)","PROJECT
CITY /
COUNTY &
STATE","RECIPIENT
NAME","RECIPIENT
ADDRESS",PROJECT PURPOSE,PROJECT JUSTIFICATION
tempo and essential mission Beale Air Force Base provides to the Air Combat Command and combatant
commanders, it is important to have the tools and personnel necessary to
meet the specific and essential requirements in a timely and safe manner. The Multi-Domain Operations Complex
provides full-spectrum Command and Control readiness and optimizes worldwide manned high-altitude
reconnaissance and multidomain. The Multi-Domain Operations Complex will provide space for the highaltitude
Intelligence, Surveillance, and Reconnaissance mission planning cell, which has grown by 117 personnel, space to
implement emerging technologies (artificial intelligence, multi-domain operations, 5th Generation) and will
integrate current Intelligence, Surveillance, and Reconnaissance platforms, sensor maintenance, and flight
operations, improving high-altitude reconnaissance
operational efficiency. This project allows for the implementation of next generation high altitude reconnaissance
sensors and for the addition of theater wide Command and Control functions to high-altitude aircraft. This project is
required to divest ~72% of Building 1086, a cornerstone of Beale's long-range facility strategy, and to provide a
purpose-built facility, complete with information technology architecture, power, and building systems required to
support current and future mission requirements. This is not a tenant or supported service requirement.","Building 1086 was designed and constructed in an ad-hoc fashion beginning in 1959. It is severely degraded, with a
building condition index of 70 and has documented Fire Safety Deficiencies due to no mass notification and lack of
fire suppression. Building 1086 also has multiple Risk Assessment Codes in regards to electrical issues, egress
noncompliance, and asbestos. This facility does not have the structural or infrastructural capabilities to support
emerging technologies and their associated power and cooling requirements. Readiness for the mission is impeded
due to separation of maintenance (Building 1086) and training & operations (Building 1025). A demolition and
renovation project for portions of the building have been programmed for Building 1086 in the Facilities,
Sustainment, and Restoration Program for Fiscal Year 2027. These aging facilities supporting the high-altitude
Intelligence, Surveillance, and Reconnaissance program at Beale are designed for the 1960's era and cannot meet
mission needs. Beale Air Force Base is the only base delivering globally integrated intelligence, surveillance, and
reconnaissance in support of National Defense Objectives.
IMPACT IF NOT PROVIDED:
The Air Force will be unable to support the modernization of the 1960's Cold War era infrastructure and the
incorporation of next generation technologies will be further delayed. Geographically dispersed functions will
continue to cause inefficiencies in daily operations. Personnel in Building 1086 will continue to work in an
unhealthy, unsafe environment with numerous Fire Safety Deficiencies and Risk Assessment Codes."

"Graves, Sam",MO,Rosecrans ANGB Aircraft Parking Apron,"62,522","St. Joseph,
MO","Rosecrans ANG
Base","705 Memorial Drive
St Joseph, MO  64503","The 139th Airlift Wing requires a properly sized and configured aircraft parking apron to
support the current mission of seven (7) primary assigned C-130 aircraft (PAA) for the Weapons Instructor Course
(WIC) and the Advanced Airlift Tactic Training Center (AATTC), which must accommodate both C-130 and C-
17 aircraft.  This project will consist of construction of an apron and associated taxiways utilizing conventional
design and construction methods to accommodate the mission of the facility.","The existing aircraft parking apron is located on the south end of the airfield. The base is currently in the middle of
a transition that will move all of the facilities from the south end of the airfield to the north end of the airfield. This
base transition has been approved due to AT/FP issues, inefficiencies of existing facilities, and the risk of flooding.
Approximately one third of the facilities have been moved to date. Current Apron sits adjacent to a civilian apron,
which creates an ongoing security concern. Security forces have responded to numerous restricted area incursions
from civilian aircraft over the years. Vulnerabilities (RISK ID # 10707) have been written up as part of EPRM
assessment on 20210415. Vulnerabilities are tied to the DTRA MAA Benchmark TR-04 Protection Planning and
TR-04A Aviation Protection. The base flooded in 1993 and was forced to evacuate in 2011 and 2019 due to the
risk of flooding. Additionally, the condition of the Apron is deteriorating due to its age and submersion during
previous floods. This project is vital for the continuation of our base transition to the north side of the airfield. Once
the northern development has reached a level of build out that allows for full operations at the northern campus, the
existing apron will be removed from inventory via a direct disposal agreement.  The project has support from the
city and chamber of commerce."

"Guest, Michael",MS,Aircraft Maintenance Hangar Addition/Alteration,"50,000","Meridian, MS","Mississippi National
Guard (B/1-111th;
AASF #3)","6225 M St, Meridian,
MS 39307","The funding would be used to construct a 40,970 square foot addition and alteration to the Aircraft Maintenance
Hangar that supports consolidated multipurpose space for the maintenance, repair, and major overhaul of military
aircraft including maintenance bays, tech supply, production control, and quality control areas directly related to the
maintenance and supervision of aircraft, component and assembly rebuilding, and quality control of aviation
maintenance for the MSARNG. This project is an appropriate use of taxpayer funds because this addition and
alteration is designed to meet the Training, Administrative, and Logistical requirements for the Army Aviation
Support Facility.","The primary mission of the unit requiring this project is CH-47 Chinook helicopter operations; however, the facility
they are currently utilizing was designed for UH-1 Huey helicopters, a significantly smaller and less complex
aircraft.  In addition to the obvious size deficit, the current facility is old and degraded, leading to decreased
mission capability and safety concerns for the Soldiers operating and maintaining these aircraft."

"Hamadeh, Abraham
J.",AZ,"Reconstruct North Aircraft Turnaround, Gila Bend AFAF","8,900","Maricopa
County, AZ","56th Civil Engineer
Squadron / Luke
AFB","56th Civil Engineering
Squadron (56 CES)
Luke Air Force Base,
AZ 85309
(623) 856-4746
jennifer.rahn@us.af.mil","-Accelerates $8.9M in MILCON (by 3 years) to rebuild the north turnaround at Gila Bend Field, doubling
the number of Luke F-35s that can safely taxi / park there.
-Already 100% designed and ready for FY27 execution.
-A 3 year timeline acceleration from FY30 Future Years Defense Programs (FYDP) to an FY27 start.
-Immediate DoD airfield safety compliance benefits for F-35 and new C-130 ops.
-Is high impact for operational capacity and safety for Luke aircraft diverting from Goldwater Range,
especially during monsoon/weather and mechanical issues.","Supported by West Valley Partners’ 14-mayor coalition and installation backing.
Doubles field operational throughput & immediate readiness value: current ops are constrained by a single runway
and no parallel taxiway, limiting landings to 4 at a time, and forcing back-taxi sequencing; a functioning north
turnaround enables safe flow even when aircraft are parked.
Protects the multibillion-dollar training ecosystem by reducing operational disruption risk and keeping Luke’s F-35
schoolhouse running at pace.
Improves safety-of-flight for Luke sorties to Goldwater Range: weather and mechanical diversions are routine, and
this gives Luke a safer, more capable divert field."

"Hernández, Pablo
José",PR,Puerto Rico National Guard Field Maintenance Shop,"63,000","Fort
Buchanan, PR","Puerto Rico National
Guard","Borinqueneer Street
building 552
Fort Buchanan, Puerto
Rico 00936","The project will construct a Field Maintenance Shop in Gurabo to modernize a military vehicle maintenance facility
with repair bays, inspection and welding areas, and storage to support the Puerto Rico Army National Guard’s fleet
of modern military equipment.","The funding would be used to modernize their maintenance shop, adapting their facilities to incorporate the latest
technologies and to meet the evolving requirements set forth by the U.S. Army. The project is an appropriate use of
taxpayer funds because it will help maintain the performance and reliability of vehicles that support various
missions and operations."

"Hudson, Richard",NC,SOF BATTALION OPERATIONS FACILITY,"64,000","Hoke and
Cumberland
County, NC",Fort Bragg,"ATTN DCSENG (E-
2633)
E2929 Desert Storm
Drive
Fort Bragg, NC
28310","PN80777- Construct a Battalion Operations Facility for the 3rd Special Forces Group (3SFG) (Airborne) at Fort
Bragg, North Carolina.","This project is required to provide an adequate facility to house battalion and company operations for 3SFG. The
facility supports operations, training, and deployment of forces into real world exercises and conventional and
unconventional special and irregular war scenarios. It will include administrative, deployment, storage, and
maintenance space to support the operational requirements of the 3SFG. The project is an appropriate use of
taxpayer dollars and is anticipated to ensure the most efficient utilization of resources to bolster operational
readiness for personnel that operate at Fort Bragg and enable them to accomplish all assigned missions."

"Hudson, Richard",NC,SOF Operations Ammunition Supply Point Phase 2,"65,000","Hoke and
Cumberland
County, NC",Fort Bragg,"PO Box 70329. Fort
Bragg, NC 28307-5000","PN104308- Construct the second phase of an Operational Ammunition Supply Point (ASP) to provide safe storage
and assembly areas for ammunition.","The second phase of an Operational Ammunition Supply Point (ASP) will provide safe storage and assembly areas
for ammunition. Phase 2 will include Earth Covered Magazines, Covered/Open Storage Pads, Ammunition Holding
Area, Charge Construction Facility, Residue Processing Building and Vehicle Scales. Other facilities include
loading docks, lightning protection on all concrete pads and structures. The project is an appropriate use of
taxpayer dollars and is anticipated to ensure the most efficient utilization of resources to bolster operational
readiness for personnel that operate at Fort Bragg and enable them to accomplish all assigned missions."

"Hudson, Richard",NC,"AIRCRAFT MAINTENANCE HANGAR
Addition/Alteration","69,000","Rowan
County, NC","Salisbury Readiness
Complex","1195 National Guard
Road, Salisbury NC
28147","PN372003- To construct a 90,192 SQFT Aircraft Maintenance Hangar and supporting facilities (90,192 Add/
15,509 Alt) that provide consolidated multipurpose space for the maintenance, repair, and major overhaul of
military aircraft and may include tech supply, production control, and quality control areas directly related to the
maintenance of aircraft, and supervision of component and assembly rebuilding, and quality control of aviation
maintenance requirements for the NCARNG.","This project would be a valuable use of taxpayer funds because it provides funding towards essential additions and
alterations for the North Carolina Army National Guard (NCARNG). This facility will improve military readiness
by providing improved facilities for aircraft maintenance , component and assembly rebuilding, and quality control
of aviation maintenance requirements for the NCARNG."

"Hudson, Richard",NC,Child Development Center,"38,000","Hoke and
Cumberland
County, NC",Fort Bragg,"2175 Rock Merritt Ave,
Stop A
Fort Bragg, NC 28310-
5000
Building 3-1634 Butner
Road","PN95936 - Construct a medium standard design child development center with adjacent outdoor playground for
children between the ages 6 weeks - 5 years of age.","Fort Bragg is home to thousands of active duty personnel and their families. The construction of this child
development center is vital to ongoing garrison transformation efforts to modernize facilities and expand services to
meet the needs of the Army’s largest installation. The project is an appropriate use of taxpayer dollars as this
facility would significantly ease the buildup for childcare slots and support military families at Fort Bragg."

"Hudson, Richard",NC,Joint Deployment Warfighting Complex (JDWC),"539,264","Hoke and
Cumberland
County, NC",Fort Bragg,"2175 Rock Merritt
Avenue, Stop A
Fort Bragg, NC 28310-
5000
Building 3-1634 Butner
Road","PN67815- Construct a Joint Deployment Warfighting Complex using the standard Command and Control Facility
(C2F) design.","This project would be a valuable use of taxpayer funds because it would help provide important funding to support
the construction of a new and modern headquarters for the XVIII Airborne Corps. The XVIII Airborne Corps is
“America’s Contingency Corps” and is tasked with rapidly deploying Army forces anywhere in the world by air,
land, or sea. When the President of the United States requires military forces to respond quickly to crises or
contingencies, the XVIII Airborne Corps is called first. Modernizing the current facility in a JDWC is not only
critical for the security and effectiveness of the Corps, but is also more cost effective and provides the nation with a
critical capability."

"Jackson, Ronny",TX,"T-7A Ground Based Training System Facility - Sheppard
Air Force Base","49,000","Wichita Falls,
TX","Sheppard Air Force
Base","1810 J Ave, Wichita
Falls, TX 76311, USA","The Advanced Pilot Training (APT) Family of Systems (FoS) includes the T-7A Red Hawk aircraft and Ground-
Based Training Systems (GBTS), which will replace the Air Force’s fleet of T-38C aircraft and associated
simulators. The Red Hawk program provides a full training suite, including ground-based simulators and support
equipment, to prepare future fighter and bomber pilots through both live and simulated environments. The GBTS
specifically features aircrew ground-egress trainers, part-task trainers, and three distinct simulator variants.
Built on an open systems architecture, the T-7A’s GBTS is designed for scalability to meet evolving USAF
requirements. These simulators are critical to pilot readiness, as they interface directly with the T-7A to provide
embedded and Live, Virtual, and Constructive (LVC) training.
Currently, the 80th Flying Training Wing at Sheppard Air Force Base (SAFB) hosts the Euro-NATO Joint Jet Pilot
Training (ENJJPT) program, the world’s only internationally manned and led pilot training mission involving 14
NATO partner countries. However, the existing Squadron Operations facility dates to the 1960s and is insufficient
for the ENJJPT mission. The facility cannot be renovated to meet the technological demands of modern trainers or
the requirements of students and instructors. Consequently, this funding is required to design and develop a new
facility to support the arrival of the T-7A and its accompanying GBTS.","The project would be a valuable use of taxpayer dollars because the existing ENJJPT Squadron Operations building
is technologically and structurally insufficient to accommodate the T-7A Ground-Based Training System (GBTS)
or the modern pedagogical needs of students and instructors. Because the legacy facility cannot be renovated to
meet the rigorous infrastructure requirements of the T-7A program, a new facility is essential to deliver the high-
fidelity training necessary for 4th- and 5th-generation fighter readiness. The T-7A GBTS offers a state-of-the-art
environment where pilots can master complex skills, including air-to-air and air-to-ground combat, high-G and high-
angle-of-attack maneuvering, and night operations with embedded mission systems, within a safe and controlled
setting. Ultimately, this facility provides a critical and cost-effective bridge between initial flight training and the
advanced requirements of modern combat aviation."

"James, John",MI,F-15EX Maintenance Complex Phase 3,"60,000","Selfridge Air
National
Guard Base,
MI","Selfridge Air
National Guard Base","29553 George Ave,
Selfridge ANGB, MI
48045","Third phase for the construction of a new 41,600-square-foot hangar/maintenance facility is under construction to
accommodate the F-15EX jets.","The Honorable John James
1519 Longworth House Office Building
Washington, D.C. 20515-2210
Chairman Mike Rogers
House Armed Services Committee
2469 Rayburn House Office Building
Washington, D.C. 20515-2210
Re: Support for FY 2027 – Critical Infrastructure Projects for Selfridge Air National Guard Base
Rep. James and Chair Rogers,
I write to express strong support for the inclusion of the critical infrastructure projects you are currently considering at Selfridge Air National Guard Base in
the Fiscal Year 2027 National Defense Authorization Act.
Selfridge is one of Michigan’s most important military installations, and it is critical for our national defense strategy. The air mission at Selfridge protects
our northern border and supports missions around the globe. Locally, it supports thousands of jobs and drives hundreds of millions of dollars in economic
activity as a major part of a burgeoning defense industry in southeast Michigan. Supporting and growing that industry sector is also an important part of our
nation’s long-term defense strategy.
The projects under consideration are essential to modernizing Selfridge and ensuring it can support next-generation missions for years to come. Last year,
Gov. Whitmer and I met with President Trump in the Oval Office to discuss the need for a new fighter mission and federal investment into this base and its
surrounding community. And one year ago this week, President Trump responded by visiting Selfridge himself to announce the new fighter mission with F-
15EX and KC-46 aircraft and a modern development of the base’s capabilities. The projects under consideration here are one of the final pieces to moving
forward on that commitment.
