"MEMBER NAME
(LAST, FIRST)",STATE,PROJECT NAME,"AMOUNT
REQUESTED
(In Thousands
of Dollars)","PROJECT
CITY /
COUNTY &
STATE","RECIPIENT
NAME","RECIPIENT
ADDRESS",PROJECT PURPOSE,PROJECT JUSTIFICATION
and the direct road way connecting the current infrastructure to the new addition, allow for the transport vehicle to
pull directly into the test bay and have the article unloaded. This also provided necessary space for the article to be
set up and have necessary instrumentation installed prior to testing which means this can be done while another
engine is being tested.
IMPACT IF NOT PROVIDED: Facility operations are inefficient during test article delivery and setup. If this
project is not executed, we will continue to see inefficient operations during delivery and setup as well as have other
shortfalls within the facility like limited restrooms space, office space, and conference room space."

"DesJarlais, Scott",TN,"Water Cooling Expansion, Rowland Creek","55,000","Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Drive, Suite
A-242
Arnold AFB, TN 37389","The purpose of this project is to construct additional Cooling water capacity at Arnold Air Force Base. Cooling
Water is an installation-wide critical asset/utility as typical day to day operations and all testing requirements depend
heavily upon this commodity. With a new hypersonic ground test mission, reactivation of mothballed testing facilities,
and an increased workload across the instillation there is a need for additional cooling water capacity, flexibility, and
availability. In order to meet future testing requirements, Arnold will have to execute concurrent tests which will
driving cooling water requirements beyond current capability. Through evaluating multiple concurrent testing
scenarios it was determined that Arnold would need to be able to deliver up to 600,000 gallons/minute
(a few highly unlikely scenarios required even more), the ability to feed separate test cells at differing conditions, and
better utilize water collected at the retention reservoir which feeds the Rowland Creek Pumping Station. Though
several solutions were evaluated, this solution is the most economic while still meeting all of our requirements","Arnold Air Force Base is responsible for a wide array of Research, Development, Test, and Evaluation efforts
(specifically ground testing) that support the Air Force and other DoD entities on behalf of Air Force Test
Command. Unlike flight tests, ground tests require large utility capabilities to operate different propulsion stands,
wind tunnels, space chambers, and arc facilities. There are three pumping stations that all together have a pumping
capacity of 620,000 gallons/minute but due to limitations within the distribution system can only effectively deliver
460,000 gallons/minute. The Secondary Pumping Station and Rowland Creek Pumping Station share a cooling
water main which restricts overall capacity. Current operations allow us to mix flow between the Secondary
Pumping Station and Rowland Creek Pumping station but with this new parallel line Arnold AFB would be able to
deliver isolated flow from each pumping station to  the distribution system. The requirement for 2 new pumps is to
support isolated flow so Rowland Creek Pumping Station will have step down capability and deliver cooling water
at the appropriate flow/pressure. This improvement would increase our cooling water capacity from 460,000
gallons/minute to 620,000 gallons/minute.
IMPACT IF NOT PROVIDED: Current cooling water flow restrictions will prevent Arnold AFB
from being able to execute upcoming concurrent test requirements. With increased test
loads coming, the end result will be delays to one or multiple test programs or failure to
execute all testing requirements. Failure to execute could have detrimental effects to
the following test programs: Hypersonic Standoff Weapons, Turbine Based Combined Cycle,
Hypersonic Munitions, Data Masked Programs, Next Generation Bomber, and Future Strike
Aircraft."

"Ellzey, Jake",TX,P-1050 Maintenance Hangar,"50,000","NAS JRB
Fort Worth,
TX","NAS JRB Forth
Worth","1510 Chennault Ave
Fort Worth TX 76113","The funding would be used to renovate a U.S. Marine Corps Maintenance Hangar (P-1050). Specifically, funding
would be used to renovates the interior and exterior of hangar 1050 including towers 1, 2, 3 and 4 to better
accommodate crew, equipment, and administrative spaces. The hangar, built in 1955 with a Building Condition
Index (BCI) of 82, a condition rating of 78, and a configuration rating of 64.",The Committee authorized in FY25 NDAA

"Feenstra, Randy",IA,VSSB249100 Repair Runway 13-31 (185th ARW),"77,000","Sioux City, IA","185th Air Refueling
Wing","2920 Headquarters
Ave.
Sioux City IA 51111","Repair by replacement of the existing 9,002 LF runway, runway shoulders, aircraft arresting system.","The funding would be used for the repair by replacement of the existing 9,002 LF runway, runway shoulders, and
aircraft arresting system. The 185 ARW needs this replacement to continue its refueling mission into the future. The
185th ARW and its mission are crucial to national security, nuclear deterrence, and vital to the Great Power
Competition. Additionally, the servicemembers and other employees at the base are an integral part of the Siouxland
area’s economy and the community.
In 2003, the 185th transitioned from F-16 Fighting Falcons to take on the KC-135 Stratotanker mission with a
promise from the Department of Defense that their runway would be replaced.  The much heavier KC-135’s have
taken a toll on the runway designed for lightweight F-16’s over the past 20 years and has required waivers and
frequent repairs due to the lack of follow-up on the promised investment to replace the runway."

"Fong, Vince",CA,"F-35 Aircraft Maintenance Hangar Addition (prior title:
Tactical Surrogate Hangar), NAS Lemoore","5,000","Lemoore, CA",NAS Lemoore,"700 Avenger Avenue
Lemoore, California
93246","To better support NAS Lemoore’s mission, $5 million in planning and design funding is needed for the proposed F-
35 Aircraft Maintenance Hangar Addition at NAS Lemoore, which would fully fund the planning and design needed
for this project. By prioritizing planning and design funding, this project would advance, leading to a facility that
would bolster base operations, training, and maintenance. As our country’s largest Master Jet Base, continued
investment in facilities at NAS Lemoore is critical, especially since NAS Lemoore is our nation’s sole installation to
host the Navy variant of this aircraft.","Kings County, home to NAS Lemoore, is very supportive of NAS Lemoore and its mission. Enclosed is a letter
from the Chairman of the Kings County Board of Supervisors in support of the F-35 Aircraft Maintenance Hangar
Addition."

"Fong, Vince",CA,"Child Development Center, NAWS China Lake","1,876","China Lake,
CA",NAWS China Lake,"Naval Air Weapons
Station China Lake
Headquarters
1 Administration Circle

China Lake, CA 93555","$1.876 million in planning and design funding is needed to advance a proposed Child Development Center at
NAWS China Lake. This project is important because the current facility is a pre-fabricated facility that is aging and
is beyond its useful life. The current facility is not adequate to support the current demand for childcare, a critical
element of supporting the families of uniformed service members and their civilian counterparts. By investing in
planning and design for the proposed Child Development Center, this project would advance faster than currently
scheduled, and the Navy personnel at NAWS China Lake would benefit from a better facility, improving safety,
strengthening efficiency, and increasing morale.","The proposed Child Development Center at NAWS China Lake has widespread community support. Enclosed is a
letter from community members in support of this project."

"Gimenez, Carlos A.",FL,"Joint Interagency Task Force - South Command and
Control Facility","90,000","Key West, FL","USSOUTHCOM/JI
ATF-South","9301 NW 33rd Street,
Doral, FL","Construction of new JIATF-S Command and Control facility to replace existing facility that is over 70 years old and
to support USSOUTHCOM missions of homeland security, counter narcotics, and counter human trafficking.","USSOUTHCOM requires a new Command and Control (C2) facility at NAS Key West to support the Joint Inter-
Agency Task Force - South (JIATF-S) mission. JIATF-S is responsible for the disruption and prevention of over
300 Metric tons of cocaine from arriving on U.S. streets every year. Illegal narcotics contribute to over 100,000
drug overdose deaths of Americans each year, and this number has increased by roughly 20% since 2020. This is a
good use of taxpayer dollars because JIATF-S is strategically located to easily team up with interagency and foreign
partners to accomplish this nationally directed counter narcotics fight. SOUTHCOM requests $90 million in FY26
to initiate construction once the design completes in FY24. JIATF-S facilities were constructed over 70 years ago
and have exceeded their service life. Multiple components are failing and cannot be repaired due to the condition of
the facilities, which presents a safety issue to personnel along with mission degradation. The JIATF-S C2 facility is
currently at significant risk of not meeting is statutory mission pursuant to Title 10 U.S. Code Â§ 124 of Detection
and Monitoring of aerial and maritime transit of illegal drugs, due to the failing and degraded state of facilities.
Without full funding, the JIATF-S mission will continue to operate out of existing failing facilities that do not meet
local hurricane and flood standards. The mission will endure the risk of catastrophic failure as a result of a significant
weather event or potential hazards associated with the inability to effect permanent repairs due to the age and
construction constraints of the existing facility. A cost-benefit analysis was completed in 2023 and the 100% design
is fully funded and ongoing with a completion date of July 2024. This is at the top of SOUTHCOM unfunded
priority list."

"DesJarlais, Scott",TN,"Add/ Alter Test Cell Bay, B880","20,000","Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Dr. A242
Arnold AFB, TN 37389","Construct an addition (roughly 1,068SM-11,500SF) on the North East Corner of Building 880. The addition will
match current building construction, being roughly 50ft wide it will extend out 150ft from the current exterior wall.
The overhead bridge crane will be extended over the new footprint. Additional facility requirements like office
space, restrooms, equipment storage, and meeting rooms could be incorporated into the addition. This will require
demolition of numerous facilities/utilities/pieces of equipment tied to the abandon J2A and J3 test cells. All J2A and
J3 infrastructure would be removed to allow for the new addition. The project includes all utilities, site
improvements, pavements, detection/protection features, security enhancements and other supporting work
necessary to make a complete and useable facility. Facilities will be designed as permanent construction in
accordance with the Department of Defense Unified Facilities Criteria 1-200-01. This project will comply with
Department of Defense antiterrorism/force protection requirements per Unified Facility
Criteria 4-010-01.","The new addition will allow for test article transport vehicle to pull directly into test bay and unload test article safely.
This removes typical weather concerns that occur now as well as reduces security risk as the article will be behind
closed doors. Along with new space for test article delivery, there will be additional space for test article setup,
storage space for test cell equipment, and potentially space that is needed for additional offices, restrooms, and
conference rooms. Outside of the new addition, a short road will be needed to provide direct access to the current
transportation system, as well as additional parking for personnel that may park near the building.
Building 880 supports the J1/J2 test cells that are used for propulsion engine testing. When test articles are delivered
to the test cell, the transport truck is forced to park along a road way, and a large outdoor fork truck will then carry
the test article through a maze of old abandon test infrastructure to the test
building. Once at the test building, the article is placed on a cart, as the fork truck is not able to make entry into the
building. The article is pushed on the cart inside where the overhead crane will then take control of the article and it
will be installed in the test cell. All test article instrumentation/setup is done inside the test cell meaning this can only
be done when another engine is not testing. The demo of current abandon test structure, the addition to the building,
and the direct road way connecting the current infrastructure to the new addition, allow for the transport vehicle to
pull directly into the test bay and have the article unloaded. This also provided necessary space for the article to be
set up and have necessary instrumentation installed prior to testing which means this can be done while another
engine is being tested.
IMPACT IF NOT PROVIDED: Facility operations are inefficient during test article delivery and setup. If this
project is not executed, we will continue to see inefficient operations during delivery and setup as well as have other
shortfalls within the facility like limited restrooms space, office space, and conference room space."

"DesJarlais, Scott",TN,"Water Cooling Expansion, Rowland Creek","55,000","Arnold AFB,
TN","Arnold Air Force
Base","100 Kindel Drive, Suite
A-242
Arnold AFB, TN 37389","The purpose of this project is to construct additional Cooling water capacity at Arnold Air Force Base. Cooling
Water is an installation-wide critical asset/utility as typical day to day operations and all testing requirements depend
heavily upon this commodity. With a new hypersonic ground test mission, reactivation of mothballed testing facilities,
and an increased workload across the instillation there is a need for additional cooling water capacity, flexibility, and
availability. In order to meet future testing requirements, Arnold will have to execute concurrent tests which will
driving cooling water requirements beyond current capability. Through evaluating multiple concurrent testing
scenarios it was determined that Arnold would need to be able to deliver up to 600,000 gallons/minute
(a few highly unlikely scenarios required even more), the ability to feed separate test cells at differing conditions, and
better utilize water collected at the retention reservoir which feeds the Rowland Creek Pumping Station. Though
several solutions were evaluated, this solution is the most economic while still meeting all of our requirements","Arnold Air Force Base is responsible for a wide array of Research, Development, Test, and Evaluation efforts
(specifically ground testing) that support the Air Force and other DoD entities on behalf of Air Force Test
Command. Unlike flight tests, ground tests require large utility capabilities to operate different propulsion stands,
wind tunnels, space chambers, and arc facilities. There are three pumping stations that all together have a pumping
capacity of 620,000 gallons/minute but due to limitations within the distribution system can only effectively deliver
460,000 gallons/minute. The Secondary Pumping Station and Rowland Creek Pumping Station share a cooling
water main which restricts overall capacity. Current operations allow us to mix flow between the Secondary
Pumping Station and Rowland Creek Pumping station but with this new parallel line Arnold AFB would be able to
deliver isolated flow from each pumping station to  the distribution system. The requirement for 2 new pumps is to
support isolated flow so Rowland Creek Pumping Station will have step down capability and deliver cooling water
at the appropriate flow/pressure. This improvement would increase our cooling water capacity from 460,000
gallons/minute to 620,000 gallons/minute.
IMPACT IF NOT PROVIDED: Current cooling water flow restrictions will prevent Arnold AFB
from being able to execute upcoming concurrent test requirements. With increased test
loads coming, the end result will be delays to one or multiple test programs or failure to
execute all testing requirements. Failure to execute could have detrimental effects to
the following test programs: Hypersonic Standoff Weapons, Turbine Based Combined Cycle,
Hypersonic Munitions, Data Masked Programs, Next Generation Bomber, and Future Strike
Aircraft."

"Ellzey, Jake",TX,P-1050 Maintenance Hangar,"50,000","NAS JRB
Fort Worth,
TX","NAS JRB Forth
Worth","1510 Chennault Ave
Fort Worth TX 76113","The funding would be used to renovate a U.S. Marine Corps Maintenance Hangar (P-1050). Specifically, funding
would be used to renovates the interior and exterior of hangar 1050 including towers 1, 2, 3 and 4 to better
accommodate crew, equipment, and administrative spaces. The hangar, built in 1955 with a Building Condition
Index (BCI) of 82, a condition rating of 78, and a configuration rating of 64.",The Committee authorized in FY25 NDAA

"Feenstra, Randy",IA,VSSB249100 Repair Runway 13-31 (185th ARW),"77,000","Sioux City, IA","185th Air Refueling
Wing","2920 Headquarters
Ave.
Sioux City IA 51111","Repair by replacement of the existing 9,002 LF runway, runway shoulders, aircraft arresting system.","The funding would be used for the repair by replacement of the existing 9,002 LF runway, runway shoulders, and
aircraft arresting system. The 185 ARW needs this replacement to continue its refueling mission into the future. The
185th ARW and its mission are crucial to national security, nuclear deterrence, and vital to the Great Power
Competition. Additionally, the servicemembers and other employees at the base are an integral part of the Siouxland
area’s economy and the community.
In 2003, the 185th transitioned from F-16 Fighting Falcons to take on the KC-135 Stratotanker mission with a
promise from the Department of Defense that their runway would be replaced.  The much heavier KC-135’s have
taken a toll on the runway designed for lightweight F-16’s over the past 20 years and has required waivers and
frequent repairs due to the lack of follow-up on the promised investment to replace the runway."

"Fong, Vince",CA,"F-35 Aircraft Maintenance Hangar Addition (prior title:
Tactical Surrogate Hangar), NAS Lemoore","5,000","Lemoore, CA",NAS Lemoore,"700 Avenger Avenue
Lemoore, California
93246","To better support NAS Lemoore’s mission, $5 million in planning and design funding is needed for the proposed F-
35 Aircraft Maintenance Hangar Addition at NAS Lemoore, which would fully fund the planning and design needed
for this project. By prioritizing planning and design funding, this project would advance, leading to a facility that
would bolster base operations, training, and maintenance. As our country’s largest Master Jet Base, continued
investment in facilities at NAS Lemoore is critical, especially since NAS Lemoore is our nation’s sole installation to
host the Navy variant of this aircraft.","Kings County, home to NAS Lemoore, is very supportive of NAS Lemoore and its mission. Enclosed is a letter
from the Chairman of the Kings County Board of Supervisors in support of the F-35 Aircraft Maintenance Hangar
Addition."

"Fong, Vince",CA,"Child Development Center, NAWS China Lake","1,876","China Lake,
CA",NAWS China Lake,"Naval Air Weapons
Station China Lake
Headquarters
1 Administration Circle

China Lake, CA 93555","$1.876 million in planning and design funding is needed to advance a proposed Child Development Center at
NAWS China Lake. This project is important because the current facility is a pre-fabricated facility that is aging and
is beyond its useful life. The current facility is not adequate to support the current demand for childcare, a critical
element of supporting the families of uniformed service members and their civilian counterparts. By investing in
planning and design for the proposed Child Development Center, this project would advance faster than currently
scheduled, and the Navy personnel at NAWS China Lake would benefit from a better facility, improving safety,
strengthening efficiency, and increasing morale.","The proposed Child Development Center at NAWS China Lake has widespread community support. Enclosed is a
letter from community members in support of this project."

"Gimenez, Carlos A.",FL,"Joint Interagency Task Force - South Command and
Control Facility","90,000","Key West, FL","USSOUTHCOM/JI
ATF-South","9301 NW 33rd Street,
Doral, FL","Construction of new JIATF-S Command and Control facility to replace existing facility that is over 70 years old and
to support USSOUTHCOM missions of homeland security, counter narcotics, and counter human trafficking.","USSOUTHCOM requires a new Command and Control (C2) facility at NAS Key West to support the Joint Inter-
Agency Task Force - South (JIATF-S) mission. JIATF-S is responsible for the disruption and prevention of over
300 Metric tons of cocaine from arriving on U.S. streets every year. Illegal narcotics contribute to over 100,000
drug overdose deaths of Americans each year, and this number has increased by roughly 20% since 2020. This is a
good use of taxpayer dollars because JIATF-S is strategically located to easily team up with interagency and foreign
partners to accomplish this nationally directed counter narcotics fight. SOUTHCOM requests $90 million in FY26
to initiate construction once the design completes in FY24. JIATF-S facilities were constructed over 70 years ago
and have exceeded their service life. Multiple components are failing and cannot be repaired due to the condition of
the facilities, which presents a safety issue to personnel along with mission degradation. The JIATF-S C2 facility is
currently at significant risk of not meeting is statutory mission pursuant to Title 10 U.S. Code Â§ 124 of Detection
and Monitoring of aerial and maritime transit of illegal drugs, due to the failing and degraded state of facilities.
Without full funding, the JIATF-S mission will continue to operate out of existing failing facilities that do not meet
local hurricane and flood standards. The mission will endure the risk of catastrophic failure as a result of a significant
weather event or potential hazards associated with the inability to effect permanent repairs due to the age and
